passer_name,dropbacks,total_epa,epa_per_dropback
Brandon Lloyd,1,-0.429,-0.429
Jeff Tuel,67,-28.813999999999997,-0.43005970149253725
Malik Nabers,1,-0.435,-0.435
T.Y. Hilton,1,-0.439,-0.439
Mike Wallace,1,-0.44,-0.44
Kadarius Toney,7,-3.0900000000000003,-0.44142857142857145
Rex Burkhead,2,-0.8839999999999999,-0.44199999999999995
Johnnie Lee Higgins,1,-0.442,-0.442
Antrel Rolle,2,-0.8999999999999999,-0.44999999999999996
Ken Dorsey,103,-46.461000000000006,-0.4510776699029127
Dirk Johnson,2,-0.906,-0.453
Josh Huff,1,-0.454,-0.454
Brady Cook,184,-83.725,-0.4550271739130434
Ty Chandler,1,-0.459,-0.459
Nathan Peterman,203,-93.58499999999997,-0.4610098522167486
Isaac Bruce,2,-0.9359999999999999,-0.46799999999999997
Bryan Walters,1,-0.468,-0.468
Marques Hagans,2,-0.95,-0.475
Jonnu Smith,1,-0.481,-0.481
Brian Brohm,58,-28.052,-0.4836551724137931
Cardale Jones,13,-6.291999999999999,-0.48399999999999993
Ben DiNucci,52,-25.245,-0.48548076923076927
Adam Humphries,1,-0.487,-0.487
Cole Kmet,2,-0.974,-0.487
Chad Johnson,1,-0.49,-0.49
John Hightower,1,-0.49,-0.49
Chris Oladokun,73,-35.800000000000004,-0.49041095890410963
Tank Dell,1,-0.492,-0.492
Keelan Cole Sr.,1,-0.492,-0.492
Eddie Kennison,1,-0.493,-0.493
Antonio Brown,9,-4.446,-0.494
Penei Sewell,1,-0.494,-0.494
Eric Decker,2,-0.998,-0.499
Tony Gonzalez,1,-0.5,-0.5
Arnaz Battle,1,-0.515,-0.515
Eddie Royal,1,-0.52,-0.52
Ryan Finley,153,-81.00399999999999,-0.529437908496732
Pat White,8,-4.2459999999999996,-0.5307499999999999
Jacob Eason,10,-5.346,-0.5346
Isaiah Wright,1,-0.535,-0.535
Le'Veon Bell,1,-0.542,-0.542
Charles Woodson,1,-0.544,-0.544
Isaiah Williams,1,-0.55,-0.55
Braylon Edwards,1,-0.553,-0.553
Lawrence Cager,1,-0.557,-0.557
Demaryius Thomas,1,-0.557,-0.557
Max Hall,93,-52.101000000000006,-0.560225806451613
Jaren Hall,27,-15.424,-0.5712592592592592
Kevin Faulk,2,-1.1440000000000001,-0.5720000000000001
Max Brosmer,93,-53.539,-0.5756881720430108
Travis Benjamin,1,-0.578,-0.578
Elijah McGuire,1,-0.581,-0.581
Jordan Palmer,23,-13.386000000000001,-0.5820000000000001
Brian St. Pierre,36,-21.038,-0.5843888888888888
